description_id,unstructured_description,source_channel,clean_text,category,color,size,brand,material,features,season,annotated_text
DESC0231,"Looking for bevge Snakers by Classzc, size S please.",Website,looking bevge snakers classzc size s please,sneakers,beige,s,classic,,,,looking bevge(color:beige) snakers(category:sneakers) classzc(brand:classic) size s(size:s) please
DESC0234,"Do you have the Eliite Blose in oliev, size M?",Phone,eliite blose oliev size m,blouse,olive,m,elite,,,,eliite(brand:elite) blose(category:blouse) oliev(color:olive) size m(size:m)
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,Phone,need essetnials burundy boluse sz xs asap,,burgundy,xs,essential,,,,need essetnials(brand:essential) burundy(color:burgundy) boluse sz xs(size:xs) asap
DESC0001,Do you carry Style Pants for Fall 2025?,Marketplace,carry style pants fall 2025,pants,,,style,,,fall 2025,carry style(brand:style) pants(category:pants) fall 2025(season:fall 2025)
DESC0002,"Looking for Green Boots, size L.",Email,looking green boots size l,boots,green,l,,,,,looking green(color:green) boots(category:boots) size l(size:l)
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",Website,searching modern blazer finished dark grey xxl size,blazer,gray,xxl,modern,,,,searching modern(brand:modern) blazer(category:blazer) finished dark grey(color:gray) xxl(size:xxl) size
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",Website,need blue sundress breathable flexible fall 2024 size m,sundress,blue,m,,,breathable,fall 2024,need blue(color:blue) sundress(category:sundress) breathable(feature:breathable) flexible fall 2024(season:fall 2024) size m(size:m)
DESC0005,"Looking for Beige Gown, size L.",Marketplace,looking beige gown size l,gown,beige,l,,,,,looking beige(color:beige) gown(category:gown) size l(size:l)
DESC0006,Do you have any footwear options suitable for Fall 2025?,Email,footwear options suitable fall 2025,footwear,,,,,,fall 2025,footwear(category:footwear) options suitable fall 2025(season:fall 2025)
DESC0007,"Looking for naavy Santals by lite, size L please.",Email,looking naavy santals lite size l please,sandals,navy,l,elite,,,,looking naavy(color:navy) santals(category:sandals) lite(brand:elite) size l(size:l) please
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,Phone,need essetnials burundy boluse sz xs asap,,burgundy,xs,essential,,,,need essetnials(brand:essential) burundy(color:burgundy) boluse sz xs(size:xs) asap
DESC0009,"White Polo from Alpine, size M",Chat,white polo alpine size m,polo,white,m,alpine,,,,white(color:white) polo(category:polo) alpine(brand:alpine) size m(size:m)
DESC0010,"After Black option in XS, preferably Coat.",Chat,black option xs preferably coat,coat,black,xs,,,,,black(color:black) option xs(size:xs) preferably coat(category:coat)
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",Phone,good afternoon happen olive gown urban size xs thanks advance,gown,olive,xs,urban,,,,good afternoon happen olive(color:olive) gown(category:gown) urban(brand:urban) size xs(size:xs) thanks advance
